cancer_type	cancer_type_code	drug	gene	proximal_cancer_genes	label	type_alt	genomic_element	samples_mut_treatment	freq_t	samples_mut_control	freq_c	qvalue	log_qvalue	log2(odds_ratio)	significant	annotated	representative_mech	is_treatment_exclusive	is_TED	Literature	comment	is_subtype	found_in_subtype	is_target_treatment
Stomach carcinoma	STAD	Platinum	TP53		TP53 - Platinum (STAD)	coding mutations		17	0.9444444444444444	25	0.45454545454545453	0.0037614880733614743	2.4246403108703185	4.301660803726039	True	False	True	False	True			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	TP53		TP53 - Anti VEGF (COREAD)	coding mutations		167	0.8564102564102564	29	0.5686274509803921	0.007239681315819155	2.140280550629835	1.9131295298727655	True	False	True	False	True			False	True	False
Lung squamous cell carcinoma	LUSC	Platinum	ENSG00000163501_IHH		IHH [3utr] - Platinum (LUSC)	non-coding mutation	3utr	4	0.19047619047619047	0	0.0	0.007349103925047717	2.1337656111377528	4.163076964497866	True	False	True	True	True			False	False	False
Skin melanoma	SKCM	BRAF_inhibitor	BRAF		BRAF - BRAF inhibitor (SKCM)	coding mutations		13	1.0	52	0.5	0.008892852636487416	2.0509589043210856	9.936637939002573	True	False	True	False	True			False	False	True
Breast carcinoma	BRCA	Microtubule_inhibitor	BNC1		BNC1 - Microtubule inhibitor (BRCA)	coding mutations		3	0.13636363636363635	0	0.0	0.011423557772946059	1.9421986175852908	11.388017285345136	True	False	True	True	True			False	True	False
Prostate carcinoma	PRAD	Taxane	ADAM15		ADAM15 - Taxane (PRAD)	Amp		19	0.08296943231441048	1	0.006535947712418301	0.011712893070958	1.9313358214460108	3.7852203359774603	True	False	True	True	True			False	False	False
Lung adenocarcinoma	LUAD	Anti_EGFR	EGFR	EGFR	EGFR - Anti EGFR (LUAD)	Amp		26	0.6341463414634146	7	0.19444444444444445	0.012896409576331999	1.889531182586419	2.8024818489066603	True	True	True	False	True	10.1038/nrclinonc.2010.97		False	False	True
Breast cancer triple negative	BRCA_TNB	Platinum	ENSG00000136518_ACTL6A		ACTL6A [proximal promoters] - Platinum (BRCA TNB)	non-coding mutation	proximal_promoters	3	0.1111111111111111	0	0.0	0.015161725067385468	1.8192513828316448	4.13467730108443	True	False	True	True	True	10.1073/pnas.2015808118		True	False	False
Breast carcinoma	BRCA	mTOR_inhibitor	MYEOV		MYEOV - mTOR inhibitor (BRCA)	Amp		24	0.3582089552238806	28	0.13930348258706468	0.015942262369476004	1.79745004775419	1.77797411365001	True	False	True	False	True			False	False	False
Prostate carcinoma	PRAD	Taxane	IGHMBP2		IGHMBP2 - Taxane (PRAD)	Amp		18	0.07860262008733625	1	0.006535947712418301	0.0189608668704249	1.7221418110677909	3.6909912287885396	True	False	True	True	True			False	False	False
Ovarian serous adenocarcinoma	OV	Anthracycline	ENSG00000218739_CEBPZOS		CEBPZOS [proximal promoters] - Anthracycline (OV)	non-coding mutation	proximal_promoters	3	0.11538461538461539	0	0.0	0.019022534386889018	1.7207316221559086	4.6664507185995046	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	NF1		NF1 - Aromatase inhibitor (BRCA)	coding mutations		34	0.096045197740113	5	0.024875621890547265	0.019285444588286647	1.7147703448708445	2.0631772383062152	True	True	True	True	True	10.1016/j.ccell.2020.02.003		False	True	False
Prostate carcinoma	PRAD	Taxane	APC		APC - Taxane (PRAD)	coding mutations		23	0.10043668122270742	3	0.0196078431372549	0.01972983108618074	1.704876632875211	2.481176026094824	True	False	True	True	True	10.1371/journal.pone.0255738		False	False	False
Lung adenocarcinoma	LUAD	Folate_antagonist	TP53		TP53 - Folate antagonist (LUAD)	coding mutations		45	0.6923076923076923	13	0.3611111111111111	0.01993108957207788	1.7004689590914466	1.993409609990524	True	False	True	False	True			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	CDH1		CDH1 - Aromatase inhibitor (BRCA)	coding mutations		54	0.15254237288135594	13	0.06467661691542288	0.020858776376157014	1.6807111718763903	1.3855872351769016	True	False	True	False	True			False	True	False
Prostate carcinoma	PRAD	Taxane	JAK1		JAK1 - Taxane (PRAD)	coding mutations		13	0.056768558951965066	0	0.0	0.024100756741398572	1.6179693207672916	10.463838720160078	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Anti_AR__GnRH	CLTC	ERBB2_CLTC	ERBB2 - Anti AR  GnRH (BRCA)	Amp		21	0.2692307692307692	19	0.0945273631840796	0.0259285739534453	1.5862213683513753	1.8114535807471899	True	False	True	False	True			False	False	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	TYMS		TYMS - Pyrimidine antagonist (BRCA)	Amp		25	0.08680555555555555	3	0.014925373134328358	0.0267746532215902	1.5722761453299108	2.6453041263851	True	False	True	True	True	10.1016/j.ejca.2010.07.011		False	False	False
Breast carcinoma	BRCA	mTOR_inhibitor	GATA3		GATA3 - mTOR inhibitor (BRCA)	coding mutations		18	0.26865671641791045	23	0.11442786069651742	0.03144321259662701	1.5024730878963115	1.5376309984096672	True	False	True	False	True			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Microtubule_inhibitor	BNC1		BNC1 - Microtubule inhibitor (BRCA ERpos)	coding mutations		3	0.2	0	0.0	0.032492865657623694	1.4882119850412503	10.05889368905357	True	False	True	True	True			True	False	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	ZNF784		ZNF784 - Pyrimidine antagonist (BRCA)	Amp		17	0.059027777777777776	1	0.004975124378109453	0.032834965566990996	1.4836634348072884	3.64473657607191	True	False	True	True	True			False	False	False
Kidney renal clear cell carcinoma	KIRC	Multikinase_inhibitor	RP11-145E5.5	CDKN2A	CDKN2A - Multikinase inhibitor (KIRC)	Del		5	0.22727272727272727	3	0.027522935779816515	0.0342231114985959	1.465680507792005	3.33490917325579	True	False	True	True	True			False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	RB1		RB1 - Anti AR  GnRH (PRAD)	coding mutations		21	0.06481481481481481	1	0.006535947712418301	0.03640620805840622	1.4388245532844117	3.397207893805519	True	False	True	True	True	10.1016/j.celrep.2020.107669		False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	ERF		ERF - Anti AR  GnRH (PRAD)	coding mutations		15	0.046296296296296294	0	0.0	0.03640620805840622	1.4388245532844117	10.579315937580011	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Folate_antagonist	FOXA1		FOXA1 - Folate antagonist (BRCA)	coding mutations		6	0.17647058823529413	7	0.03482587064676617	0.038461831771513064	1.414970036027957	2.6228671517012208	True	False	True	True	True			False	True	False
Prostate carcinoma	PRAD	Taxane	ZMYM3		ZMYM3 - Taxane (PRAD)	coding mutations		18	0.07860262008733625	2	0.013071895424836602	0.038461831771513064	1.414970036027957	2.687454529267449	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Taxane	AC005808.3		AC005808.3 - Taxane (BRCA)	Amp		74	0.2016348773841962	20	0.09950248756218906	0.0387767656529189	1.411428417992464	1.1906693800598998	True	False	True	False	True			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkaloid	CACNA1F		CACNA1F - Alkaloid (BRCA ERpos)	coding mutations		6	0.20689655172413793	2	0.025	0.03892258365277138	1.4097983392952589	3.3469445599166	True	False	True	True	True			True	False	False
Pancreas carcinoma	PAAD	Pyrimidine_antagonist	CDK12		CDK12 - Pyrimidine antagonist (PAAD)	Amp		4	0.18181818181818182	6	0.027522935779816515	0.0398913014954745	1.3991217941468652	2.94854976930389	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Anti_VEGF	ENSG00000162545_CAMK2N1		CAMK2N1 [3utr] - Anti VEGF (BRCA)	non-coding mutation	3utr	4	0.1111111111111111	0	0.0	0.04182738614213198	1.378539274303365	5.4814496450133205	True	False	True	True	True			False	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_VEGF	TP53		TP53 - Anti VEGF (COREAD MSS)	coding mutations		166	0.8645833333333334	28	0.6666666666666666	0.044072301289630515	1.3558342716753793	1.6750515710036444	True	False	True	False	True			True	False	False
Breast carcinoma	BRCA	Alkylating	TSHZ2		TSHZ2 - Alkylating (BRCA)	Amp		63	0.16363636363636364	15	0.07462686567164178	0.0456921934262562	1.3401579933985557	1.2766848017790402	True	False	True	False	True			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ARID1A		ARID1A - Aromatase inhibitor (BRCA)	coding mutations		26	0.07344632768361582	4	0.01990049751243781	0.0482484479223898	1.3165166526742444	1.9697130846507496	True	True	True	True	True	10.1038/s41588-019-0554-0		False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Folate_antagonist	FOXA1		FOXA1 - Folate antagonist (BRCA ERpos)	coding mutations		6	0.23076923076923078	3	0.0375	0.04959217835484026	1.3045868147436006	2.945045796634488	True	False	True	True	True			True	False	False
Breast carcinoma	BRCA	CDK4__6_inhibitor	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - CDK4  6 inhibitor (BRCA)	non-coding mutation	proximal_promoters	7	0.10294117647058823	2	0.009950248756218905	0.05387637206182278	1.2686016565752338	3.5145051753545173	True	False	True	True	True	10.1038/s41467-019-09068-2		False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	ENSG00000141510_TP53		TP53 [splice sites] - Anti AR  GnRH (PRAD)	non-coding mutation	splice_sites	17	0.05246913580246913	1	0.006535947712418301	0.0608861625813237	1.2154813969796945	3.0750085297608667	True	False	True	True	True			False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	ENSG00000245532_NEAT1		NEAT1 [lncrna exons] - Anti AR  GnRH (PRAD)	non-coding mutation	lncrna_exons	56	0.1728395061728395	12	0.0784313725490196	0.0608861625813237	1.2154813969796945	1.3017186716580764	True	False	True	False	True			False	False	False
Prostate carcinoma	PRAD	Immunotherapy	ENSG00000129514_FOXA1		FOXA1 [3utr] - Immunotherapy (PRAD)	non-coding mutation	3utr	5	0.35714285714285715	15	0.09803921568627451	0.0608861625813237	1.2154813969796945	2.356456861119612	True	False	True	False	True	10.1172/JCI147025		False	False	False
Prostate carcinoma	PRAD	Taxane	ENSG00000245532_NEAT1		NEAT1 [lncrna exons] - Taxane (PRAD)	non-coding mutation	lncrna_exons	39	0.1703056768558952	12	0.0784313725490196	0.0608861625813237	1.2154813969796945	1.2761048099623384	True	False	True	False	True			False	False	False
Breast carcinoma	BRCA	CDK4__6_inhibitor	ESR1		ESR1 - CDK4  6 inhibitor (BRCA)	coding mutations		25	0.36764705882352944	2	0.009950248756218905	1.0859578855257347e-12	11.96418701677151	5.854240994450677	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	ESR1		ESR1 - Pyrimidine antagonist (BRCA)	coding mutations		68	0.2361111111111111	2	0.009950248756218905	1.0859578855257347e-12	11.96418701677151	4.949347098187608	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	mTOR_inhibitor	ESR1		ESR1 - mTOR inhibitor (BRCA)	coding mutations		24	0.3582089552238806	2	0.009950248756218905	1.8946319855863672e-12	11.7224751351157	5.829295072296292	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Alkaloid	ESR1		ESR1 - Alkaloid (BRCA)	coding mutations		19	0.3958333333333333	2	0.009950248756218905	9.950437336765256e-12	11.002157830935692	6.077218579378455	True	False	False	True	False			False	True	False
Prostate carcinoma	PRAD	Taxane	TP53		TP53 - Taxane (PRAD)	coding mutations		93	0.40611353711790393	12	0.0784313725490196	2.1530582816803844e-11	10.66694421398998	3.0064643633490755	True	False	False	False	False			False	False	False
Breast carcinoma	BRCA	Alkylating	ESR1		ESR1 - Alkylating (BRCA)	coding mutations		70	0.18181818181818182	2	0.009950248756218905	5.354848997078101e-10	9.271252771454044	4.471351927510385	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Anthracycline	ESR1		ESR1 - Anthracycline (BRCA)	coding mutations		69	0.17829457364341086	2	0.009950248756218905	9.673023960504236e-10	9.01443773645886	4.432332944031256	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Folate_antagonist	ESR1		ESR1 - Folate antagonist (BRCA)	coding mutations		13	0.38235294117647056	2	0.009950248756218905	3.6581655798490033e-09	8.436736640907915	6.015158550467461	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Anti_AR__GnRH	ESR1		ESR1 - Anti AR  GnRH (BRCA)	coding mutations		19	0.24358974358974358	2	0.009950248756218905	3.248463259694804e-08	7.488322040766256	5.0019541085234165	True	False	False	True	False			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkaloid	ESR1		ESR1 - Alkaloid (BRCA ERpos)	coding mutations		15	0.5172413793103449	1	0.0125	4.7686253116103394e-08	7.321606800336702	6.403333466125708	True	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Taxane	ESR1		ESR1 - Taxane (BRCA)	coding mutations		53	0.1444141689373297	2	0.009950248756218905	3.470077482627086e-07	6.459660827831116	4.074611854446615	True	False	False	True	False			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	CDK4__6_inhibitor	ESR1		ESR1 - CDK4  6 inhibitor (BRCA ERpos)	coding mutations		22	0.3548387096774194	1	0.0125	6.085623601418631e-07	6.21569491245798	5.441317475113214	True	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	mTOR_inhibitor	ESR1		ESR1 - mTOR inhibitor (BRCA ERpos)	coding mutations		20	0.3508771929824561	1	0.0125	1.2486867600418884e-06	5.903546493128573	5.416289261670647	True	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	ESR1		ESR1 - Pyrimidine antagonist (BRCA ERpos)	coding mutations		57	0.2688679245283019	1	0.0125	1.2486867600418884e-06	5.903546493128573	4.86059601593565	True	False	False	True	False			True	False	False
Ovarian serous adenocarcinoma	OV	Platinum	TP53		TP53 - Platinum (OV)	coding mutations		61	0.7176470588235294	108	0.9818181818181818	1.2486867600418884e-06	5.903546493128573	-4.378782376616834	False	False	True	False	False			False	False	False
Ovarian serous adenocarcinoma	OV	Taxane	TP53		TP53 - Taxane (OV)	coding mutations		59	0.7283950617283951	108	0.9818181818181818	3.7877220040345254e-06	5.421621903096481	-4.302915148001556	False	False	False	False	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkylating	ESR1		ESR1 - Alkylating (BRCA ERpos)	coding mutations		63	0.23863636363636365	1	0.0125	8.397363746369342e-06	5.075857034188293	4.6300672436782815	True	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anthracycline	ESR1		ESR1 - Anthracycline (BRCA ERpos)	coding mutations		63	0.23773584905660378	1	0.0125	8.397363746369342e-06	5.075857034188293	4.6229077419661015	True	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Folate_antagonist	ESR1		ESR1 - Folate antagonist (BRCA ERpos)	coding mutations		10	0.38461538461538464	1	0.0125	4.285606360432561e-05	4.367987722081644	5.625738061908648	True	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	TP53		TP53 - Aromatase inhibitor (BRCA)	coding mutations		102	0.288135593220339	99	0.4925373134328358	6.60471668737784e-05	4.180145806928694	-1.2526078536532774	False	False	True	False	False			False	True	False
Ovarian serous adenocarcinoma	OV	Selective_ER_modulator	TP53		TP53 - Selective ER modulator (OV)	coding mutations		9	0.5625	108	0.9818181818181818	0.00010926802445738509	3.9615069088041013	-5.332962145162338	False	False	False	False	False			False	False	False
Breast carcinoma	BRCA	Anti_VEGF	ESR1		ESR1 - Anti VEGF (BRCA)	coding mutations		8	0.2222222222222222	2	0.009950248756218905	0.00012277470780055287	3.9108910908005816	4.829320445660278	True	False	False	True	False			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anti_AR__GnRH	ESR1		ESR1 - Anti AR  GnRH (BRCA ERpos)	coding mutations		16	0.25396825396825395	1	0.0125	0.00015732477235154605	3.803202888002781	4.749245540017113	True	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ESR1		ESR1 - Taxane (BRCA ERpos)	coding mutations		46	0.2	1	0.0125	0.00015732477235154605	3.803202888002781	4.303853794178025	True	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	TP53		TP53 - Selective ER modulator (BRCA)	coding mutations		121	0.30402010050251255	99	0.4925373134328358	0.00022751149123137604	3.6429966629526187	-1.1434020400414866	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	Microtubule_inhibitor	ESR1		ESR1 - Microtubule inhibitor (BRCA)	coding mutations		6	0.2727272727272727	2	0.009950248756218905	0.0002530090378124255	3.596863964982444	5.2216257859404145	True	False	False	True	False			False	True	False
Breast carcinoma	BRCA	mTOR_inhibitor	TP53		TP53 - mTOR inhibitor (BRCA)	coding mutations		13	0.19402985074626866	99	0.4925373134328358	0.0004853061819253057	3.3139841765212115	-1.9787145157896633	False	False	False	False	False			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Microtubule_inhibitor	ESR1		ESR1 - Microtubule inhibitor (BRCA ERpos)	coding mutations		6	0.4	1	0.0125	0.0007278509823222652	3.1379575275272344	5.718845640139705	True	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Platinum	ESR1		ESR1 - Platinum (BRCA)	coding mutations		9	0.140625	2	0.009950248756218905	0.0012267920580534956	2.9112290441948563	4.02527851347597	True	False	False	True	False			False	True	False
Ovarian serous adenocarcinoma	OV	Selective_ER_modulator	RP11-145E5.5		RP11-145E5.5 - Selective ER modulator (OV)	Del		6	0.375	1	0.00909090909090909	0.00200169238267546	2.6986026635058127	5.92117360509532	False	False	True	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anti_VEGF	ESR1		ESR1 - Anti VEGF (BRCA ERpos)	coding mutations		7	0.28	1	0.0125	0.0024966053439054656	2.602650104228692	4.941257627360407	True	False	False	True	False			True	False	False
Colorectal carcinoma	COREAD	Anti_EGFR	KRAS		KRAS - Anti EGFR (COREAD)	coding mutations		6	0.13636363636363635	24	0.47058823529411764	0.0024966053439054656	2.602650104228692	-2.7403488437606414	False	False	True	False	False			False	False	False
Breast carcinoma	BRCA	Anti_AR__GnRH	TP53		TP53 - Anti AR  GnRH (BRCA)	coding mutations		19	0.24358974358974358	99	0.4925373134328358	0.0025482752189813517	2.593753669103504	-1.587305168866982	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	CDK4__6_inhibitor	TP53		TP53 - CDK4  6 inhibitor (BRCA)	coding mutations		16	0.23529411764705882	99	0.4925373134328358	0.003479664097116531	2.4584626778378107	-1.6528273046148507	False	False	False	False	False			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Platinum	ESR1		ESR1 - Platinum (BRCA ERpos)	coding mutations		7	0.25925925925925924	1	0.0125	0.003687122597150053	2.4333124218241564	4.789259751439677	True	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Anti_AR__GnRH	PIK3CA		PIK3CA - Anti AR  GnRH (BRCA)	coding mutations		41	0.5256410256410257	58	0.2885572139303483	0.004295964022750979	2.366939364363005	1.4505169453484912	True	False	False	False	False			False	True	False
Ovarian serous adenocarcinoma	OV	Pyrimidine_antagonist	TP53		TP53 - Pyrimidine antagonist (OV)	coding mutations		18	0.75	108	0.9818181818181818	0.006135892418235092	2.2121222635598	-4.144187440028704	False	False	False	False	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_EGFR	KRAS		KRAS - Anti EGFR (COREAD MSS)	coding mutations		6	0.13953488372093023	21	0.5	0.0065307408563250215	2.185037548960259	-2.615621564478312	False	False	True	False	False			True	False	False
Stomach carcinoma	STAD	Pyrimidine_antagonist	TP53		TP53 - Pyrimidine antagonist (STAD)	coding mutations		16	0.9411764705882353	25	0.45454545454545453	0.006920202126254872	2.1598812204225557	4.214202534672706	True	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Platinum	TP53		TP53 - Platinum (COREAD)	coding mutations		231	0.843065693430657	29	0.5686274509803921	0.010342918586757531	1.9853568938078092	1.7597288886850495	True	False	False	False	False			False	False	False
Ovarian serous adenocarcinoma	OV	Taxane	KRAS		KRAS - Taxane (OV)	coding mutations		10	0.12345679012345678	1	0.00909090909090909	0.012611684416711826	1.8992269051771782	3.9404592708128	True	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Topoisomerase_inhibitor	TP53		TP53 - Topoisomerase inhibitor (COREAD)	coding mutations		116	0.8529411764705882	29	0.5686274509803921	0.013301321720981302	1.8761052020698663	1.9179196791364628	True	False	False	False	False			False	True	False
Ovarian serous adenocarcinoma	OV	Platinum	KRAS		KRAS - Platinum (OV)	coding mutations		10	0.11764705882352941	1	0.00909090909090909	0.01612017118417115	1.792630350623597	3.861392993760781	True	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ERBB2		ERBB2 - Selective ER modulator (BRCA)	coding mutations		26	0.06532663316582915	2	0.009950248756218905	0.01974322225589902	1.7045819654580447	2.8019958431944514	True	False	False	True	False			False	True	False
Lung adenocarcinoma	LUAD	Platinum	TP53		TP53 - Platinum (LUAD)	coding mutations		49	0.6901408450704225	13	0.3611111111111111	0.020555021721691408	1.6870820599390568	1.978766531216555	True	False	False	False	False			False	False	False
